"No.","Time","Source","Destination","Protocol","Length","Info"
"266","16.302833","23.46.188.128","192.168.43.92","TCP","66","443  >  3138 [ACK] Seq=6087 Ack=632 Win=64128 Len=0 SLE=371 SRE=632"
"267","16.302833","23.46.188.128","192.168.43.92","TLSv1.3","341","Application Data"
"268","16.302833","23.46.188.128","192.168.43.92","TLSv1.3","341","Application Data"
"269","16.303005","192.168.43.92","23.46.188.128","TCP","54","3138  >  443 [ACK] Seq=632 Ack=6661 Win=64512 Len=0"
"270","16.303273","23.46.188.128","192.168.43.92","TLSv1.3","689","Application Data"
"271","16.341434","40.126.24.81","192.168.43.92","TCP","54","443  >  3131 [ACK] Seq=4008 Ack=4323 Win=4194304 Len=0"
"272","16.353231","192.168.43.92","23.46.188.128","TCP","54","3138  >  443 [ACK] Seq=632 Ack=7296 Win=65792 Len=0"
"273","16.429003","40.126.24.81","192.168.43.92","TCP","1454","443  >  3131 [ACK] Seq=4008 Ack=4323 Win=4194304 Len=1400 [TCP segment of a reassembled PDU]"
"274","16.429290","40.126.24.81","192.168.43.92","TCP","1454","443  >  3131 [ACK] Seq=5408 Ack=4323 Win=4194304 Len=1400 [TCP segment of a reassembled PDU]"
"275","16.429290","40.126.24.81","192.168.43.92","TCP","1454","443  >  3131 [ACK] Seq=6808 Ack=4323 Win=4194304 Len=1400 [TCP segment of a reassembled PDU]"
"276","16.429375","192.168.43.92","40.126.24.81","TCP","54","3131  >  443 [ACK] Seq=4323 Ack=8208 Win=524800 Len=0"
"277","16.429521","40.126.24.81","192.168.43.92","TCP","1454","443  >  3131 [ACK] Seq=8208 Ack=4323 Win=4194304 Len=1400 [TCP segment of a reassembled PDU]"
"278","16.429565","192.168.43.92","40.126.24.81","TCP","54","3131  >  443 [ACK] Seq=4323 Ack=9608 Win=524800 Len=0"
"279","16.429810","40.126.24.81","192.168.43.92","TCP","1454","443  >  3131 [ACK] Seq=9608 Ack=4323 Win=4194304 Len=1400 [TCP segment of a reassembled PDU]"
